GuardRails || https://github.com/apps/guardrails || #security
Google's DeepMind AI Just Taught Itself To Walk || https://www.youtube.com/watch?v=gn4nRCC9TwQ || #ai
Quantum Computers Explained – Limits of Human Technology || https://www.youtube.com/watch?v=JhHMJCUmq28 || #hardware
The World's Most Powerful Laptop! || https://www.youtube.com/watch?v=k_GM1JA608Y || #hardware
4814 || Armitage - Cyber Attack Management for Metasploit || http://www.fastandeasyhacking.com/ || #metasploit #security || 20180811
4468 || Times Tables, Mandelbrot and the Heart of Mathematics || https://www.youtube.com/watch?v=qhbuKbxJsk8 || #math || 20180906
4443 || Dividing by zero? || https://www.youtube.com/watch?v=J2z5uzqxJNU || #math || #til
4427 || How to: Work at Google — Example Coding-Engineering Interview || https://www.youtube.com/watch?v=XKu_SEDAykw || #hr || 2180817
4316 || Coding is not difficult | Mark Zukerberg || https://www.youtube.com/watch?v=F9GujgK0y2M || #notag || 20180815
4299 || How Linux is Built || https://www.youtube.com/watch?v=yVpbFMhOAwE || #linux || 20180808
4243 || What is Blockchain || https://www.youtube.com/watch?v=93E_GzvpMA0 || #blockchain || 20180907
4215 || Kedar talks computer code on Steve Harvey TV for Little Big Shots Week || https://www.youtube.com/watch?v=nFkVDaIrGDg || #hr || #til
4207 || I'm A Teenage Bitcoin Millionaire || https://www.youtube.com/watch?v=k4FNmp3mKp4 || #blockchain || 20180907
4131 || oxid.it - Cain & Abel || http://www.oxid.it/cain.html || #cainandabel #security || 20180806
3971 || e to the pi i for dummies || https://www.youtube.com/watch?v=-dhHrg-KbJ0 || #math || 20180907
3959 || The hardest problem on the hardest test || https://www.youtube.com/watch?v=OkmNXy7er84 || #notag || #til
3754 || What's the fastest way to alphabetize your bookshelf? - Chand John || https://www.youtube.com/watch?v=WaNLJf8xzC4 || #algorithms || 20180820
3597 || Fiber optic cables: How they work || https://www.youtube.com/watch?v=0MwMkBET_5I || #hardware || 20180908
3581 || Hello World - Machine Learning Recipes #1 || https://www.youtube.com/watch?v=cKxRvEZd3Mw || #ml || 20180909
3550 || How is this speedrun possible? Super Mario Bros. World Record Explained || https://www.youtube.com/watch?v=_FQJEzJ_cQw || #games || 20180909
3510 || How a CPU Works || https://www.youtube.com/watch?v=cNN_tTXABUA || #harware || 20180910
3492 || Computer evolves to generate baroque music! || https://www.youtube.com/watch?v=SacogDL_4JU || #notag || #til
3458 || Thinking visually about higher dimensions || https://www.youtube.com/watch?v=zwAD6dRSVyI || #math || 20180910
3445 || Understanding e to the pi i || https://www.youtube.com/watch?v=F_0yfvm0UoU || #math || 20180910
3396 || Top 125 Network Security Tools || http://sectools.org || #awesome #security || 20180805
3315 || We’re Close to a Universal Quantum Computer, Here’s Where We're At || https://www.youtube.com/watch?v=6yaY4Fw-ovM || #notag || 20180910
3281 || Google's self-learning AI AlphaZero masters chess in 4 hours || https://www.youtube.com/watch?v=0g9SlVdv1PY || #ml || #til
3273 || free-programming-books || https://github.com/EbookFoundation/free-programming-books || #awesome || 20180806
